c009600	You don't understand shit.
c009669	i was muted lol
c009670	oh yea. Basically started the day we got him. That definitely helped.
c009671	Okay, arms up, lean forward.
c009672	o i am?
c009673	we need 2 beds tho
c009674	this server aint anarchy tho
c009675	rip itrolledmyfriend
c009676	But you had to have it, didn't you? It was so nice to listen
c009677	ill die for you TotallyNotTenshi
c009678	That's horrible! Was the kitten okay?
c009679	Nevermind. It's not real -- it's a hoax. A prank. He's hiding in a barn. Hey, turn left here. Left!
c009680	my base is ungreifable
c009681	YellowRaceCar_ friend of tom, cherry, mob, poop, etc. trusted
c009682	How many seats are there in the stand?
c009683	waht type of game is x game?
c009684	got it. I'll start right now.
c009685	Really? Where did you go?
c009686	thank u all for vouching for me
c009687	I'm glad of it.
c009688	Oh, what kind is it?
c009689	Actually, I don't like history. Lately, these shows are always about the Pyramids.
c009690	You said yourself, you thought about takin' him out.
c009691	i have 2 totems of shulks
c009692	97b can i have night vision
c009693	killed 4 bases, Wow
c009694	who tf is jargo
c009695	Plutorenn join vc?
c009696	It happened last night.
c009697	Sounds like you will likely do well. Do you expect any problems with other people?
c009698	You break your leg, I'll have to shoot you.
c009699	hahahahahhahahahahhahahahahahahahahha
c009700	Sure you are, sport.
c009701	Excuse me. Can you show me some nail-polish?
c009702	Have a nice day, and thank you for shopping here.
c009703	And if she does not choose to show you some kindness?
c009704	yet its my favourite
c009705	Do you want to come in?
c009706	I know. But let's prep 'em. We could stay here all night.. That wouldn't be good --
c009707	in a house?
c009708	Oh wow. Did she break up with you?
c009709	Really? Do you think English is that important?
c009710	Wow those are not easy to learn either, good job raising them!
c009711	Is it too hot to cook or do you just hate cooking?
c009712	You're probably just having a mid- life crisis. Did you buy a Porche?
c009713	i've traveled a good 400 blocks
c009714	Care for a smoke?
c009715	guys i have an offer
c009716	DYLMER just chat mods
c009717	creeper farms dont work
c009718	stop moving
c009719	its going up
c009720	can i talk
c009721	LOL IMMA GO
c009722	Is this evening too soon?
c009723	I am really sorry too, maybe I can give you a call sometime.
c009724	doggo?
c009725	epic gamer
c009726	Of course I mean it! I don't care whom she's married to as long as I can get her back.
c009727	Mine didn't make it.
c009728	how many do u guys have
c009729	Yeah that's always comforting. Mom's are awesome
c009730	I'm so glad.
c009731	thecreepre idk, do u want it?
c009732	That is tough. Does he help you study too??
c009733	right when i need it
c009734	Kit give me nothin'.
c009735	You're the faggot.
c009736	not unless i dont have any
c009737	What a silly dog than! She will learn to not do that again!
c009738	I wish you'd make sure.
c009739	FARM
c009740	If so, you can benefit a lot from them.
c009741	It's so refreshing to hear someone who really loves what they do.
c009742	my friend got promoted at reasors
c009743	has anyone beat the game
c009744	And what date will you be returning?
c009745	I don't mind waiting as long as we get this straightened out.
c009746	I spent many years taking care of my grandmother. Those are great memories!
c009747	i recently lost my dog, he died. i had him for 12 years.
c009748	im on my way cpl
c009749	No, thank you. I can manage it, I think.
c009750	Is there another company that may be able to help you?
c009751	What's a King Pin?
c009752	Well, it's $ 12.
c009753	So, let ' s get started. tell me a bit about your educational background.
c009754	That's not good, we ended up lucky with who we have
c009755	oh, lay the smack down
c009756	So what's it like?
c009757	But give yourself some time. You just got here.
c009758	Yeah, fine. And dressing leather shoes.
c009759	cuz of radiation
c009760	to see if it changed
c009761	wanna know my coords?
c009762	That's a dang shame. Did it get rained on?
c009763	Sureumyeah, as soon as I have a screening I'll let you know.
c009764	trust me they do
c009765	wow.. so am i.. i could not imagine doing that. its great that you are going to do it though
c009766	Congrats. you are lucky
c009767	What did you take as your major in college?
c009768	fancy f
c009769	hæ
c009770	Yes! I feel so scared when that happens.
c009771	How's this one?
c009772	That's a good point. Let me change my question. What sports do women like best?
c009773	10 dollars.
c009774	why are gym class teachers are always evil incarnate
c009775	no offence
c009776	i aint got my echest rn
c009777	I see, that's a long time. How much was the watch?
c009778	Me, too. But I could never make bracelets like these.
c009779	Good luck.I bet you are ready for this exam.
c009780	A double cheeseburger sounds good.
c009781	The ones in the box of files. The box of files? The one from your office?
c009782	You look terrible. What happened? Jake.. is it the antidote?
c009783	sorr y i was afk
c009784	Buy cocaine
c009785	i tapped him
c009786	leglit_potatchop??
c009787	You'd better believe it.
c009788	This is the best dinner I've ever had.
c009789	And the girls?
c009790	Oh, that's the worst.
c009791	Our little dog got out of the yard and got hit by a car..
c009792	See you in the morning light..
c009793	thats goos stuff
c009794	hold something
c009795	at the coords i sent u
c009796	Ten kg! Dear Shirley must have put a lead ball in it!
c009797	I am concentrating. Where can we rule?
c009798	Let ' s also go to the jewelry store to buy a crystal necklace. I want to buy one for you as your birthday present.
c009799	To encourage the staff increases.
c009800	Congratulations on the new apartment.
c009801	I am so glad you have doctors that you can trust!
c009802	and then what happened??
c009803	On paper?
c009804	Cox a poor man is automatically an Angry man
c009805	Thank you, I sure hope so. What is your degree in?
c009806	That's okay. Better late than never.
c009807	i gtg for a little bit
c009808	That Kenmore looks nice.
c009809	yeah i have rare lavags wool
c009810	i wana stab some sit
c009811	Can you facetime them?
c009812	He'd like to start serving immediately.
c009813	who would buy
c009814	Why are you even here, man? You could have told me all this over the phone.
c009815	heaattt
c009816	ur gonna get banned
c009817	Something good --
c009818	Well, we're really interested in placing an order under negotiation. We can start the negotiations as soon as you want.
c009819	They are in the basement already.
c009820	They're falling out.
c009821	His name is Bingo.
c009822	What do you mean, Janice?
c009823	You're two hours late.
c009824	still there
c009825	mf
c009826	Save it for your mother, funny guy. We heard it before.
c009827	God forbid..No, son, you flog on back and tell your pa where we're at..and where he's at..
c009828	what did he tell you? did he like them as well
c009829	Oh really, that was hectic for you I guess
c009830	Dome Pear-igg-non it is.
c009831	so its not hard
c009832	Don't litter my cab!
c009833	so its so far
c009834	you can hack idiot
c009835	PknGi16Character are you herobrian?
c009836	Thanks. I think I'll go check that out now.
c009837	That's impressive!
c009838	Make sure you bring something to drink as well. can get quite thirsty ya know.
c009839	I can't complain about anything right now. I have a roof over my head, a decent job, and a wonderful family.
c009840	hahaha gay
c009841	yellow is causing drama
c009842	What sort of job do you have in mind?
c009843	oh no i gtg
c009844	Isn't this great? They have everything here.
c009845	Oh wow, you must be very proud of her. That is quite an accomplishment.
c009846	That sucks. Do you know what caused the outage?
c009847	okay do it
c009848	Yeah.. I know. But I'm sick and tired of all the office power struggles!
c009849	I'm sorry to hear that! Is it that busy at work?
c009850	Absolutely we need a house here. But what makes me upset is the prices in this city.
c009851	i lonely
c009852	It really is. I always feel better after taking a walk.
c009853	My daughter won the spelling bee. All her hard work paid off!
c009854	fishing with an axe:)
c009855	It's not important good night.
c009856	Let me think about it.
c009857	Sure. So what about you? Do you have any hobbies?
c009858	Hey! I heard screaming..
c009859	What ' s the most important part?
c009860	You can wash the vegetables and cut the chicken and I'll make dinner!
c009861	I DIDN'T CREATE THIS WORLD OF OURS! I ONLY RECORD IT!
c009862	holden..
c009863	it's worth it so you don't have to be without a phone.
c009864	That's unfortunate. I hope that something changes soon. It is detrimental to your health!
c009865	Yes, I got caught and had to walk back in shame!
c009866	hate it
c009867	So we should "wait and see." For how long?
c009868	And then what, Truman? We'd be back to where we were five years ago. You're talking like a teenager.
c009869	I think i got that perspective down!
c009870	Oh well that shouldn't take you more than another, oh, two and a half or three years, should it?
c009871	1Dubious u want to join?
c009872	Would you like anything to drink?
c009873	myope for me it works lol
c009874	Yes. I ' m here to apply for the job of director that your company posted yesterday. Is it still available?
c009875	What pet is it?
c009876	FattyDoggy GIVE MNE COORDS
c009877	It's a beautiful day, isn't it?
c009878	I hate onions too, even if I pick them off I can still taste them on the burger. So gross.
c009879	smol pp Synathy
c009880	Probably! Makes me feel better now lol
c009881	baiiii
c009882	who *they
c009883	Perhaps we could both go at the same time..
c009884	I know, I won't watch anymore of those.
c009885	stuff u
c009886	I am in the same boat
c009887	Damn thats a lot of drinks
c009888	Sure thing, Johnny. Watch out for dishpan hands there, kid!
c009889	or no\
c009890	I ' m finished. Here you go.
c009891	Okay, let's shake on it.
c009892	You think she really likes him?
c009893	ha ha abart from this
c009894	what about -1 dude
c009895	hey karl
c009896	It really does, what job do you work at?
c009897	Hurry up, for Christ's sake!
c009898	i didnt say thar
c009899	Well, I'm listening now.
