c016800	Wow, you are lucky.
c016869	i need to get to one
c016870	I mean I want both of us to go.
c016871	The usual prospects. Convicts, contract killers, murde..
c016872	i'm saved
c016873	How would you like to be yourself for the day?
c016874	Try it.. it'll add years to our sex life.
c016875	not kosher
c016876	You took bets on my diagnosis?
c016877	Used* to be your land. B'longs to the comp'ny now.
c016878	That really sucks. Fortunate to hear that no one misused it though. They are typically pretty fast at sending you a new one.
c016879	what is a techno blade
c016880	Can't you delay your return a little bit?
c016881	Oh, this is Monica
c016882	Oh wow, what luck! I bet you slowed down after that!
c016883	Seventy-six, I think.
c016884	so you aint coming?
c016885	Well, we drove through the valley on our way there in the morning. It was a magnificent sight.
c016886	You are very nice to tell me those.
c016887	no i'll do me
c016888	im by myself:)
c016889	can yall sleep
c016890	i think you have the same attitude like me. i really feel pissed off
c016891	I might have recognized you without the beard. And you didn't wear glasses on the 'Time' cover!
c016892	It was very thrilling experience and I enjoyed a lot!
c016893	Go?! Wait a minute - that's a great story! Newspaper reporter was forcibly ejected from Schuyler Mansion, and
c016894	Tony Marvin.
c016895	Do you like coffee, Ann?
c016896	Why not? You told me that subway is a kind of train. If it had no restroom. what kind of train would that be?
c016897	Thank you! Glad there are still some smart ppl in this world..
c016898	That's good to hear. You can always keep searching for that dream job while you work.
c016899	Why Johnny Ringo, you look like Somebody just walked over your grave. Oh, I wasn't quite as sick as I Made out.
c016900	yo duzy
c016901	Jack, this is Graham. Is Price still in Latent Prints?
c016902	When will there be a job fair?
c016903	Sunday will be so fun, I can't wait! We're going on a roadtrip
c016904	You are right about that.
c016905	I can assist you.
c016906	ofc u can fight legit
c016907	Oh wow! My dog Jr died of old age too.
c016908	Dont feel that way.. theres someone out there for everyone. Give it a try.:)
c016909	Maybe the treasure's a chest full of apples and bananas!
c016910	Ted..The reason I wanted to see you..I want Billy back.
c016911	Little miss, you're stopping me in my work.
c016912	They seem dangerous to me. Oh well. I might try it. I'll bring an extra pair of undies.
c016913	im heading to a base
c016914	Yeah, we're gonna score.
c016915	srbija je kosovo
c016916	Oh no, did you have candles and flashlights available?
c016917	I need help with something.
c016918	who is drago
c016919	My mom went on a diet and lost 40lbs.
c016920	no suicide
c016921	You are so right! See you when I get back my friend!
c016922	OK. If any of the articles was damaged during moving, you may make a claim for compensation with our department.
c016923	ill hook u up
c016924	I am getting frustrated with my job recently, they are overworking us
c016925	My sister had my makeup on yesterday again!
c016926	Then I'll see you in the parking lot at five! Thank you!
c016927	Im glad I still have my parents around
c016928	jkjkjkjk
c016929	I've been away on a vacation.
c016930	I don't think anything is worse than dealing with a period as a teenager!
c016931	Do you think it's a possibility?
c016932	I like hitchhiking.will you go with me?
c016933	Everyone's very anxious to shake hands with our newest academic celebrity.
c016934	Sorry wrong person. I got so many responsibilities now it's stressing me out!
c016935	This mean your finally going to finish your thesis?
c016936	Wow! That's cool. So, let me give you some details about the deck I want.
c016937	Well, whatever the hell you wanted to do, you are going to tell me everything right now. Do you understand?!
c016938	you live on binary
c016939	Yup--Sweeney, Flood, Farrell--waiting for you--
c016940	Don't say that. You know it's not true.
c016941	SockMonkey80 do you need totems?
c016942	Yes and I do not want to go to the dentist. I hate the dentist.
c016943	thank me later
c016944	snap
c016945	Will you just open the door!
c016946	My wife made me pancakes for breakfast. I have a full belly and feel rather happy now.
c016947	He is! Especially since last year's team won the Opening Day Tournament and then won the Regular Season title!
c016948	hi staff
c016949	its a mod ofr fabric
c016950	Oh how cool! Did you go alone or with your family?
c016951	Wow, that's awful. Why did he do that?
c016952	You lost someone.
c016953	Aww that's too cute! Mine are quick to line up and smile still!
c016954	Any vegetable?
c016955	your welcome:]
c016956	MAybe she is sick
c016957	Not as tough as you, huh?
c016958	Thanks. It's comfortable. Well, how much is it, please?
c016959	I hate the hero.He ' s too cruel.
c016960	Flyro vc?
c016961	Thatguy300 u probably wont get kits since dupes havent been found yet
c016962	That ' s correct.
c016963	never tried
c016964	That would certainly make me upset too, was it your neighbors?
c016965	ERF_Mob for the fifth time are u back yet
c016966	Certainly, sir. Just tell me your account number please.
c016967	What's going on here? Who is this woman?
c016968	Very good! Chinese food rules! I expect the next time.
c016969	Alright, now listen to me. I want you -- I want you to tell him, in these words: get on the fucking phone..!
c016970	I want to invite you to enjoy the food I cook.
c016971	I know where to put my card! Stupid machine, talking to me like I ' m an idiot..
c016972	Synathy Synathy
c016973	In fact, our dormitory is much worse than they can be described.
c016974	Say your problem, Wolf One. Are you declaring an emergency?
c016975	thats 69
c016976	Sometimes, it ' s hard to know who belongs in each section of the museum!
c016977	Remember that thing a few years back? That thing with the cab?
c016978	At the airport, I found my luggage broken and objects where stolen
c016979	Go find one.
c016980	Oh dear! What a pity! Are you sure you lost the wallet in the theatre?
c016981	dude it doesnt take that long
c016982	OK. I've set it up for you.
c016983	How old is your son now?
c016984	i just took some seeds
c016985	I have some sandwich fixings if you're hungry.
c016986	MY friend is getting married soon.
c016987	My mother is getting very old. And she really isn't in great health these days..
c016988	than u ever will be
c016989	It's hard. But you will see him soon and nowadays tehre are lots of ways to communicate
c016990	Are you looking for shoes?
c016991	Did you get in?
c016992	No, then.
c016993	May i please see ID?
c016994	did your daughter's team win?
c016995	are all of u newbies?
c016996	I'll never again come to your side; I am turn away now and can't return.
c016997	no no stay there
c016998	you guys okay?
c016999	Congrats! that sounds like a good movie!
c017000	You shouldn't, because that is a very stressful job
c017001	Really? Look at the toe of this shoe. It is worn out.
c017002	Sorry I'm late. Jenny's basketball game went into overtime. If anybody ever told me I'd have a daughter who'd get a triple double, I'd..
c017003	Are you going to punish her?
c017004	turtle in da boart
c017005	I must.. consult with my father.
c017006	Oh no, who was it?
c017007	You're going to have to tell them what to do in church, what everything means..
c017008	Awesome! What are you studying?
c017009	You're thinner..You can tell you've not been treated well..
c017010	I never met a man I couldn't have--and you're no different from the rest!
c017011	My oldest child's birthday is next week and it always makes me emotional.
c017012	srue
c017013	It sounds interesting.
c017014	Won't you enjoy less chaos?
c017015	Playground. We're having sports for today's outside class activities. All my classmates have already got there.
c017016	Hey it's ok. We all do stupid things when we are young.
c017017	I should find out if I get a bonus or not. I am hoping its good news!
c017018	You don't have to tell me if you don't want to, but I might be able to help.
c017019	I was just speaking with my buddy. He is very over wight and somehow finished a marathon last weekend. Impressive!
c017020	I'm here, Smith, how's the Clark?
c017021	Boy, that's pretty messed up.
c017022	Last year my friends made me go to a haunted house and they all laughed at me afterwards
c017023	I fell off the mountain
c017024	Wait a minute.. I'm talkin' to you. I'm askin' you a question..
c017025	anyone wanna make a biggggg base
c017026	Yeah. Whose gonna notify his next of kin?
c017027	Well it would have been nostalgic!!. You would have enjoyed for sure
c017028	I like playing chess.
c017029	Mmmm. I like to swim. We might get along very..
c017030	We must go ahead. This is our moment.
c017031	What time would you like to leave?
c017032	idk what do you want me to say I I dont like aaron so I leaked his base which also happens to be mobs
c017033	No, that ' s all. I already have your resume.
c017034	but machetes r sexc
c017035	well f u c k
c017036	Stop it. He escaped from a concentration camp and the Nazis have been chasing him all over Europe.
c017037	plz dusmy
c017038	Dad, you seen the drill?
c017039	What if your father snapped? Your mom's anniversary set him off and he went on a murder spree, killing everyone..
c017040	Why she kills children.
c017041	No. Don't worry, I'm a cop. Everything'll be okay. Is he still breathing?
c017042	Dogs are wonderful pets. They are so loving and devoted. What kind of dog do you have?
c017043	The truth is always simple.. it's you, Jean, who's making things complicated.
c017044	So what happened? Where are they, then?
c017045	Any time is fine.
c017046	My friends threw me a surprise party yesterday!
c017047	Have you done any work in this field?
c017048	So you're a racist
c017049	When are you off?
c017050	He's already angry, I don't think --
c017051	I lost track of time.
c017052	that gives a lot of confidence..
c017053	Its just that I feel anxious and think I am going to fail!
c017054	I was so happy I got to see my cousins when they came in town
c017055	Just take deep breaths and act confidently and you'll do great!
c017056	dont interupt me this time
c017057	Gui yuan are lucky, too! If you eat them, you'll have a very sweet life!
c017058	i am happy its almost the weekend!
c017059	just a few hundred blocks
c017060	Hope that works for you!
c017061	If you can, could you pick up my prescription for me?
c017062	We are having a small get together with family and friends and his favorite jumpy place.
c017063	That's terrifying, are you okay?
c017064	i didnt even move
c017065	There isn't such a code?
c017066	But I can't bear it, John.
c017067	That sounds like a lot of fun. Did you ride a lot of rides?
c017068	Well, you can have a look at our skirts hanging there.
c017069	because different levels of anticheat
c017070	you need a spawnpoint ot die XD
c017071	how much for what
c017072	Yes, here you are. Would you care to order now, Sir?
c017073	We need you to urinate like you normally would, and then stop and finish into the cup.
c017074	The monthly sticker costs you.
c017075	tps kinda be droppin
c017076	That is terrible. What did you do?
c017077	Is it okay to have a day off next week?
c017078	Obama
c017079	Oh wow more responsibility! I bet the pay raise will be welcome
c017080	Hey, baby, how ya doing? You look beat.
c017081	Mainly seascapes.
c017082	and I can tell you where to get off.
c017083	I'm on your side. It needs to be done over.
c017084	Who is this, Enid?
c017085	We need a detention warrant.
c017086	What about next saturday.
c017087	I'm starving! It would be truly appreciated if you bought me a burrito.
c017088	hay come here
c017089	You have no right! You have no fucking right, you bastards! Get the hell out of here --
c017090	cpl stfu
c017091	every time a sheep dies in minecraft I hang myself irl
c017092	f u ck
c017093	May I order some cable from you today?
c017094	Oh, my God! What do I do now? Bone head, bone head, bone head ( He smashes his head with his hand. ).
c017095	What about the expression " goodbye "? Is that an idiom?
c017096	Thank-you.
c017097	then why did i get kicked by console for killura
c017098	How likely is he to go ape shit?
c017099	That is terrible, is it someone you like? or did you not even know her? I don't know which is worse.
